year,player_id,team_name,matches_played,matches_started,position_name,goals_scored,penalty_goals,open_play_goals,family_name,given_name,player_name,age,wc_exp,won_golden_boot,won_best_player,won_young_player
2018,P-63363,Belgium,5,3,midfielder,1,0,1,Fellaini,Marouane,Marouane Fellaini,30.6,1,False,False,False
2018,P-63620,England,6,5,center midfielder,1,0,1,Lingard,Jesse,Jesse Lingard,25.5,0,False,False,False
2018,P-63865,Costa Rica,1,0,defender,0,0,0,Smith,Ian,Ian Smith,20.3,0,False,False,False
2018,P-63951,Portugal,1,0,forward,0,0,0,Martins,Gelson,Gelson Martins,23.1,0,False,False,False
2018,P-64049,Belgium,6,6,center back,1,0,1,Vertonghen,Jan,Jan Vertonghen,31.1,1,False,False,False
2018,P-64077,France,7,6,center forward,4,0,4,Mbappé,Kylian,Kylian Mbappé,19.5,0,False,False,True
2018,P-64102,Spain,4,4,right winger,0,0,0,Silva,David,David Silva,32.4,2,False,False,False
2018,P-64125,Morocco,3,3,left forward,0,0,0,Belhanda,Younès,Younès Belhanda,28.3,0,False,False,False
2018,P-64261,Poland,3,2,left winger,0,0,0,Grosicki,Kamil,Kamil Grosicki,30.0,0,False,False,False
2018,P-64292,South Korea,3,1,midfielder,0,0,0,Jung,Woo-young,Woo-young Jung,28.5,0,False,False,False
2018,P-64348,Spain,4,4,center back,0,0,0,Piqué,Gerard,Gerard Piqué,31.4,2,False,False,False
2018,P-64597,Russia,1,1,right back,0,0,0,Smolnikov,Igor,Igor Smolnikov,29.8,0,False,False,False
2018,P-64718,South Korea,3,3,right back,0,0,0,Lee,Yong,Yong Lee,31.5,1,False,False,False
2018,P-65144,Poland,2,0,forward,0,0,0,Teodorczyk,Łukasz,Łukasz Teodorczyk,27.0,0,False,False,False
2018,P-65146,Croatia,1,1,right back,0,0,0,Jedvaj,Tin,Tin Jedvaj,22.5,0,False,False,False
2018,P-65182,Croatia,7,3,attacking midfielder,1,0,1,Kramarić,Andrej,Andrej Kramarić,27.0,0,False,False,False
2018,P-65199,Portugal,4,3,attacking midfielder,0,0,0,Guedes,Gonçalo,Gonçalo Guedes,21.5,0,False,False,False
2018,P-65320,Costa Rica,3,3,center back,0,0,0,Acosta,Jhonny,Jhonny Acosta,34.9,1,False,False,False
